issuer_slug,current_municipality_ehak,mapping_source,mapping_evidence
abja_vallavolikogu,0480,haldusreform-2017,Wikidata: Abja vald (EHAK 0105) -> Mulgi vald (EHAK 0480); per RT I 21.06.2017 1
aegviidu_vallavolikogu,0141,haldusreform-2017,Wikidata: Aegviidu vald (EHAK 0112) -> Anija vald (EHAK 0141); per RT I 21.06.2017 1
ahja_vallavolikogu,0622,haldusreform-2017,Wikidata: Ahja vald (EHAK 0117) -> Põlva vald (EHAK 0622); per RT I 21.06.2017 1
alajoe_vallavalitsus,0130,haldusreform-2017,Wikidata: Alajõe vald (EHAK 0122) -> Alutaguse vald (EHAK 0130); per RT I 21.06.2017 1
alatskivi_vallavalitsus,0586,haldusreform-2017,Wikidata: Alatskivi vald (EHAK 0126) -> Peipsiääre vald (EHAK 0586); per RT I 21.06.2017 1
alatskivi_vallavolikogu,0586,haldusreform-2017,Wikidata: Alatskivi vald (EHAK 0126) -> Peipsiääre vald (EHAK 0586); per RT I 21.06.2017 1
ambla_vallavolikogu,0255,haldusreform-2017,Wikidata: Ambla vald (EHAK 0134) -> Järva vald (EHAK 0255); per RT I 21.06.2017 1
are_vallavolikogu,0809,haldusreform-2017,Wikidata: Are vald (EHAK 0149) -> Tori vald (EHAK 0809); per RT I 21.06.2017 1
aseri_vallavolikogu,0903,haldusreform-2017,Wikidata: Aseri vald (EHAK 0154) -> Viru-Nigula vald (EHAK 0903); per RT I 21.06.2017 1
audru_vallavalitsus,0624,haldusreform-2017,Wikidata: Audru vald (EHAK 0160) -> Pärnu linn (EHAK 0624); per RT I 21.06.2017 1
audru_vallavolikogu,0624,haldusreform-2017,Wikidata: Audru vald (EHAK 0160) -> Pärnu linn (EHAK 0624); per RT I 21.06.2017 1
avinurme_vallavolikogu,0486,haldusreform-2017,Wikidata: Avinurme vald (EHAK 0164) -> Mustvee vald (EHAK 0486); per RT I 21.06.2017 1
elva_linnavalitsus,0171,haldusreform-2017,Wikidata: Elva linn (EHAK 0170) -> Elva vald (EHAK 0171); per RT I 21.06.2017 1
elva_linnavolikogu,0171,haldusreform-2017,Wikidata: Elva linn (EHAK 0170) -> Elva vald (EHAK 0171); per RT I 21.06.2017 1
emmaste_vallavalitsus,0205,haldusreform-2017,Wikidata: Emmaste vald (EHAK 0175) -> Hiiumaa vald (EHAK 0205); per RT I 21.06.2017 1
emmaste_vallavolikogu,0205,haldusreform-2017,Wikidata: Emmaste vald (EHAK 0175) -> Hiiumaa vald (EHAK 0205); per RT I 21.06.2017 1
haanja_vallavolikogu,0698,haldusreform-2017,Wikidata: Haanja vald (EHAK 0181) -> Rõuge vald (EHAK 0698); per RT I 21.06.2017 1
haaslava_vallavalitsus,0291,haldusreform-2017,Wikidata: Haaslava vald (EHAK 0185) -> Kastre vald (EHAK 0291); per RT I 21.06.2017 1
haaslava_vallavolikogu,0291,haldusreform-2017,Wikidata: Haaslava vald (EHAK 0185) -> Kastre vald (EHAK 0291); per RT I 21.06.2017 1
halinga_vallavolikogu,0638,haldusreform-2017,Wikidata: Halinga vald (EHAK 0188) -> Põhja-Pärnumaa vald (EHAK 0638); per RT I 21.06.2017 1
halliste_vallavolikogu,0480,haldusreform-2017,Wikidata: Halliste vald (EHAK 0192) -> Mulgi vald (EHAK 0480); per RT I 21.06.2017 1
