source,target,predicate
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_10,estleg:referencedBy
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_10_Lg_1,estleg:referencedBy
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_12,estleg:referencedBy
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_12_Lg_1,estleg:referencedBy
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_12_Lg_2,estleg:referencedBy
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_14,estleg:referencedBy
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_14_Lg_1,estleg:referencedBy
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_16_1_Lg_11,estleg:referencedBy
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_16_1_Lg_1_2,estleg:referencedBy
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_16_1_Lg_2,estleg:referencedBy
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_16_Lg_3,estleg:referencedBy
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_2_Lg_2,estleg:referencedBy
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_3,estleg:references
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_32,estleg:references
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_37_Lg_4,estleg:referencedBy
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_38,estleg:references
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_4,estleg:references
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_42,estleg:referencedBy
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_42_1_Lg_2,estleg:referencedBy
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_42_4,estleg:referencedBy
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_42_4_Lg_1,estleg:referencedBy
estleg:ABIPOL_Map_2026,estleg:ABIPOL_Par_42_Lg_1,estleg:referencedBy
