iri,caseNumber,date,ecli,chamber
estleg:RK_1_06_9135_67,1-06-9135/67,2020-04-15,ECLI:EE:RK:2020:1.06.9135.67,Kriminaalkolleegium
estleg:RK_1_09_3703_83,1-09-3703/83,2020-10-30,ECLI:EE:RK:2020:1.09.3703.83,Kriminaalkolleegium
estleg:RK_1_09_4486_1021,1-09-4486/1021,2020-05-22,ECLI:EE:RK:2020:1.09.4486.1021,Kriminaalkolleegium
estleg:RK_1_14_189_65,1-14-189/65,2020-02-19,ECLI:EE:RK:2020:1.14.189.65,Kriminaalkolleegium
estleg:RK_1_14_5339_95,1-14-5339/95,2020-06-19,ECLI:EE:RK:2020:1.14.5339.95,Kriminaalkolleegium
estleg:RK_1_15_10026_166,1-15-10026/166,2020-11-09,ECLI:EE:RK:2020:1.15.10026.166,Kriminaalkolleegium
estleg:RK_1_15_2666_492,1-15-2666/492,2020-12-11,ECLI:EE:RK:2020:1.15.2666.492,Kriminaalkolleegium
estleg:RK_1_15_330_45,1-15-330/45,2020-01-30,ECLI:EE:RK:2020:1.15.330.45,Kriminaalkolleegium
estleg:RK_1_15_400_52,1-15-400/52,2020-11-05,ECLI:EE:RK:2020:1.15.400.52,Kriminaalkolleegium
estleg:RK_1_15_6483_415,1-15-6483/415,2020-04-08,ECLI:EE:RK:2020:1.15.6483.415,Kriminaalkolleegium
estleg:RK_1_16_4665_257,1-16-4665/257,2020-05-28,ECLI:EE:RK:2020:1.16.4665.257,Kriminaalkolleegium
estleg:RK_1_16_9171_1408,1-16-9171/1408,2020-06-18,ECLI:EE:RK:2020:1.16.9171.1408,Kriminaalkolleegium
estleg:RK_1_16_9171_1411,1-16-9171/1411,2020-06-19,ECLI:EE:RK:2020:1.16.9171.1411,Kriminaalkolleegium
estleg:RK_1_16_9323_410,1-16-9323/410,2020-07-24,ECLI:EE:RK:2020:1.16.9323.410,Kriminaalkolleegium
estleg:RK_1_17_11182_201,1-17-11182/201,2020-06-05,ECLI:EE:RK:2020:1.17.11182.201,Kriminaalkolleegium
estleg:RK_1_17_11682_102,1-17-11682/102,2020-03-13,ECLI:EE:RK:2020:1.17.11682.102,Kriminaalkolleegium
estleg:RK_1_17_2359_113,1-17-2359/113,2020-10-08,ECLI:EE:RK:2020:1.17.2359.113,Kriminaalkolleegium
estleg:RK_1_17_2359_115,1-17-2359/115,2020-11-24,ECLI:EE:RK:2020:1.17.2359.115,Erikogu
estleg:RK_1_17_3371_311,1-17-3371/311,2020-12-07,ECLI:EE:RK:2020:1.17.3371.311,Kriminaalkolleegium
estleg:RK_1_17_4309_132,1-17-4309/132,2020-06-18,ECLI:EE:RK:2020:1.17.4309.132,Kriminaalkolleegium
estleg:RK_1_17_4942_31,1-17-4942/31,2020-05-20,ECLI:EE:RK:2020:1.17.4942.31,Kriminaalkolleegium
estleg:RK_1_17_6021_333,1-17-6021/333,2020-03-05,ECLI:EE:RK:2020:1.17.6021.333,Kriminaalkolleegium
