# classify_deontic.py started 2026-05-25T21:52:21.783207+00:00
======================================================================
Estonian Legal Ontology - Deontic Classification
======================================================================

[1/3] Found 16061 law files to process
  Clearing old deontic classification data from all files...
  Done clearing.
  [100/16061] processed – 1492 classified so far
  [200/16061] processed – 1492 classified so far
  [300/16061] processed – 1586 classified so far
  [400/16061] processed – 2129 classified so far
  [500/16061] processed – 3362 classified so far
  [600/16061] processed – 5360 classified so far
  [700/16061] processed – 6828 classified so far
  [800/16061] processed – 7749 classified so far
  [900/16061] processed – 8271 classified so far
  [1000/16061] processed – 8608 classified so far
  [1100/16061] processed – 8849 classified so far
  [1200/16061] processed – 9174 classified so far
  [1300/16061] processed – 9264 classified so far
  [1400/16061] processed – 9538 classified so far
  [1500/16061] processed – 9793 classified so far
  [1600/16061] processed – 9997 classified so far
  [1700/16061] processed – 10233 classified so far
  [1800/16061] processed – 10498 classified so far
  [1900/16061] processed – 10681 classified so far
  [2000/16061] processed – 11031 classified so far
  [2100/16061] processed – 11310 classified so far
  [2200/16061] processed – 11667 classified so far
  [2300/16061] processed – 11772 classified so far
  [2400/16061] processed – 11997 classified so far
  [2500/16061] processed – 12230 classified so far
  [2600/16061] processed – 12601 classified so far
  [2700/16061] processed – 12835 classified so far
  [2800/16061] processed – 13132 classified so far
  [2900/16061] processed – 13385 classified so far
  [3000/16061] processed – 13641 classified so far
  [3100/16061] processed – 13855 classified so far
  [3200/16061] processed – 14063 classified so far
  [3300/16061] processed – 14321 classified so far
  [3400/16061] processed – 14555 classified so far
  [3500/16061] processed – 14842 classified so far
  [3600/16061] processed – 15088 classified so far
  [3700/16061] processed – 15284 classified so far
  [3800/16061] processed – 15551 classified so far
  [3900/16061] processed – 15651 classified so far
  [4000/16061] processed – 15884 classified so far
  [4100/16061] processed – 16120 classified so far
  [4200/16061] processed – 16420 classified so far
  [4300/16061] processed – 16687 classified so far
  [4400/16061] processed – 16861 classified so far
  [4500/16061] processed – 17144 classified so far
  [4600/16061] processed – 17240 classified so far
  [4700/16061] processed – 17343 classified so far
  [4800/16061] processed – 17554 classified so far
  [4900/16061] processed – 17732 classified so far
  [5000/16061] processed – 18038 classified so far
  [5100/16061] processed – 18385 classified so far
  [5200/16061] processed – 18562 classified so far
  [5300/16061] processed – 18829 classified so far
  [5400/16061] processed – 19086 classified so far
  [5500/16061] processed – 19393 classified so far
  [5600/16061] processed – 19766 classified so far
  [5700/16061] processed – 20084 classified so far
  [5800/16061] processed – 20314 classified so far
  [5900/16061] processed – 20573 classified so far
  [6000/16061] processed – 20917 classified so far
  [6100/16061] processed – 21059 classified so far
  [6200/16061] processed – 21252 classified so far
  [6300/16061] processed – 21426 classified so far
  [6400/16061] processed – 21691 classified so far
  [6500/16061] processed – 21955 classified so far
  [6600/16061] processed – 22143 classified so far
  [6700/16061] processed – 22512 classified so far
  [6800/16061] processed – 22804 classified so far
  [6900/16061] processed – 23093 classified so far
  [7000/16061] processed – 23389 classified so far
  [7100/16061] processed – 23612 classified so far
  [7200/16061] processed – 23829 classified so far
  [7300/16061] processed – 24009 classified so far
  [7400/16061] processed – 24292 classified so far
  [7500/16061] processed – 24547 classified so far
  [7600/16061] processed – 24795 classified so far
  [7700/16061] processed – 24961 classified so far
  [7800/16061] processed – 25220 classified so far
  [7900/16061] processed – 25488 classified so far
  [8000/16061] processed – 25747 classified so far
  [8100/16061] processed – 26110 classified so far
  [8200/16061] processed – 26357 classified so far
  [8300/16061] processed – 26555 classified so far
  [8400/16061] processed – 26807 classified so far
  [8500/16061] processed – 27067 classified so far
  [8600/16061] processed – 27194 classified so far
  [8700/16061] processed – 27303 classified so far
  [8800/16061] processed – 27432 classified so far
