# extract_institutional_competence.py started 2026-06-02T19:20:28.800287+00:00
======================================================================
Estonian Legal Ontology - Institutional Competence Extraction
======================================================================

  Found 16061 law files to process
  Loaded 113 canonical institution suffixes

[1/4] Processing law files (per-file idempotent)...
  [100/16061] processed – 46 institutions found
  [200/16061] processed – 46 institutions found
  [300/16061] processed – 47 institutions found
  [400/16061] processed – 53 institutions found
  [500/16061] processed – 60 institutions found
  [600/16061] processed – 64 institutions found
  [700/16061] processed – 65 institutions found
  [800/16061] processed – 67 institutions found
  [900/16061] processed – 69 institutions found
  [1000/16061] processed – 70 institutions found
  [1100/16061] processed – 70 institutions found
  [1200/16061] processed – 71 institutions found
  [1300/16061] processed – 71 institutions found
  [1400/16061] processed – 71 institutions found
  [1500/16061] processed – 71 institutions found
  [1600/16061] processed – 71 institutions found
  [1700/16061] processed – 71 institutions found
  [1800/16061] processed – 71 institutions found
  [1900/16061] processed – 71 institutions found
  [2000/16061] processed – 71 institutions found
  [2100/16061] processed – 71 institutions found
  [2200/16061] processed – 71 institutions found
  [2300/16061] processed – 71 institutions found
  [2400/16061] processed – 72 institutions found
  [2500/16061] processed – 72 institutions found
  [2600/16061] processed – 72 institutions found
  [2700/16061] processed – 72 institutions found
  [2800/16061] processed – 72 institutions found
  [2900/16061] processed – 72 institutions found
  [3000/16061] processed – 72 institutions found
  [3100/16061] processed – 72 institutions found
  [3200/16061] processed – 72 institutions found
  [3300/16061] processed – 73 institutions found
  [3400/16061] processed – 73 institutions found
  [3500/16061] processed – 73 institutions found
  [3600/16061] processed – 73 institutions found
  [3700/16061] processed – 73 institutions found
  [3800/16061] processed – 73 institutions found
  [3900/16061] processed – 73 institutions found
  [4000/16061] processed – 73 institutions found
  [4100/16061] processed – 73 institutions found
  [4200/16061] processed – 74 institutions found
  [4300/16061] processed – 74 institutions found
  [4400/16061] processed – 74 institutions found
  [4500/16061] processed – 74 institutions found
  [4600/16061] processed – 74 institutions found
  [4700/16061] processed – 74 institutions found
  [4800/16061] processed – 75 institutions found
