# extract_sanctions.py started 2026-05-25T21:58:24.796120+00:00
======================================================================
Estonian Legal Ontology - Sanctions Extraction
======================================================================

[1/4] Processing law files (per-file idempotent)...
  [100/16061] processed – 140 sanctions found
  [200/16061] processed – 140 sanctions found
  [300/16061] processed – 141 sanctions found
  [400/16061] processed – 232 sanctions found
  [500/16061] processed – 426 sanctions found
  [600/16061] processed – 1396 sanctions found
  [700/16061] processed – 1819 sanctions found
  [800/16061] processed – 1866 sanctions found
  [900/16061] processed – 1987 sanctions found
  [1000/16061] processed – 1987 sanctions found
  [1100/16061] processed – 1988 sanctions found
  [1200/16061] processed – 1989 sanctions found
  [1300/16061] processed – 1989 sanctions found
  [1400/16061] processed – 1992 sanctions found
  [1500/16061] processed – 1992 sanctions found
  [1600/16061] processed – 1992 sanctions found
  [1700/16061] processed – 1994 sanctions found
  [1800/16061] processed – 1996 sanctions found
  [1900/16061] processed – 1999 sanctions found
  [2000/16061] processed – 2000 sanctions found
  [2100/16061] processed – 2001 sanctions found
  [2200/16061] processed – 2002 sanctions found
  [2300/16061] processed – 2002 sanctions found
  [2400/16061] processed – 2004 sanctions found
  [2500/16061] processed – 2004 sanctions found
  [2600/16061] processed – 2006 sanctions found
  [2700/16061] processed – 2006 sanctions found
  [2800/16061] processed – 2007 sanctions found
  [2900/16061] processed – 2007 sanctions found
  [3000/16061] processed – 2007 sanctions found
  [3100/16061] processed – 2008 sanctions found
  [3200/16061] processed – 2008 sanctions found
  [3300/16061] processed – 2008 sanctions found
  [3400/16061] processed – 2009 sanctions found
  [3500/16061] processed – 2012 sanctions found
  [3600/16061] processed – 2013 sanctions found
  [3700/16061] processed – 2014 sanctions found
  [3800/16061] processed – 2014 sanctions found
  [3900/16061] processed – 2014 sanctions found
  [4000/16061] processed – 2014 sanctions found
  [4100/16061] processed – 2015 sanctions found
  [4200/16061] processed – 2015 sanctions found
  [4300/16061] processed – 2016 sanctions found
  [4400/16061] processed – 2016 sanctions found
  [4500/16061] processed – 2017 sanctions found
  [4600/16061] processed – 2017 sanctions found
  [4700/16061] processed – 2018 sanctions found
  [4800/16061] processed – 2018 sanctions found
  [4900/16061] processed – 2019 sanctions found
  [5000/16061] processed – 2019 sanctions found
  [5100/16061] processed – 2020 sanctions found
  [5200/16061] processed – 2020 sanctions found
  [5300/16061] processed – 2020 sanctions found
  [5400/16061] processed – 2022 sanctions found
  [5500/16061] processed – 2022 sanctions found
  [5600/16061] processed – 2022 sanctions found
  [5700/16061] processed – 2024 sanctions found
  [5800/16061] processed – 2025 sanctions found
  [5900/16061] processed – 2025 sanctions found
  [6000/16061] processed – 2028 sanctions found
  [6100/16061] processed – 2029 sanctions found
  [6200/16061] processed – 2029 sanctions found
  [6300/16061] processed – 2029 sanctions found
  [6400/16061] processed – 2031 sanctions found
  [6500/16061] processed – 2032 sanctions found
  [6600/16061] processed – 2032 sanctions found
  [6700/16061] processed – 2032 sanctions found
  [6800/16061] processed – 2032 sanctions found
  [6900/16061] processed – 2032 sanctions found
  [7000/16061] processed – 2032 sanctions found
  [7100/16061] processed – 2032 sanctions found
  [7200/16061] processed – 2032 sanctions found
  [7300/16061] processed – 2032 sanctions found
